Player,Region,League,Year,Dataset,Team,Pos,GP,WAR,WAR_per_game,proj_WAR
Jensen,Americas,LCS,2024,full year (per-game derived),Dignitas,Middle,30,16.795,0.5598,14.172
Jensen,Americas,LCS,2024,full year (per-game derived),FlyQuest,Middle,26,12.001,0.4616,12.383
APA,Americas,LCS,2024,full year (per-game derived),Team Liquid,Middle,62,10.368,0.1672,9.881
Palafox,Americas,LCS,2024,full year (per-game derived),NRG,Middle,44,-3.456,-0.0785,4.825
Dove,Americas,LCS,2024,full year (per-game derived),Dignitas,Middle,18,-7.394,-0.4108,6.484
Insanity,Americas,LCS,2024,full year (per-game derived),Shopify Rebellion,Middle,30,-11.728,-0.3909,2.418
WildTurtle,Americas,LCS,2024,full year (per-game derived),Shopify Rebellion,ADC,2,36.061,18.0305,4.276
Tomo,Americas,LCS,2024,full year (per-game derived),Dignitas,ADC,18,22.082,1.2268,11.271
Yeon,Americas,LCS,2024,full year (per-game derived),Team Liquid,ADC,62,13.554,0.2186,10.398
Berserker,Americas,LCS,2024,full year (per-game derived),Cloud9,ADC,47,9.896,0.2106,11.459
Zven,Americas,LCS,2024,full year (per-game derived),Dignitas,ADC,30,9.25,0.3083,9.051
Bvoy,Americas,LCS,2024,full year (per-game derived),Shopify Rebellion,ADC,28,8.861,0.3165,16.45
FBI,Americas,LCS,2024,full year (per-game derived),NRG,ADC,44,2.908,0.0661,7.352
Tomo,Americas,LCS,2024,full year (per-game derived),100 Thieves,ADC,23,1.209,0.0526,5.285
Tactical,Americas,LCS,2024,full year (per-game derived),Immortals,ADC,29,-0.403,-0.0139,4.187
Massu,Americas,LCS,2024,full year (per-game derived),FlyQuest,ADC,64,-5.491,-0.0858,2.345
Meech,Americas,LCS,2024,full year (per-game derived),100 Thieves,ADC,37,-27.503,-0.7433,-4.457
huhi,Americas,LCS,2024,full year (per-game derived),NRG,Support,44,25.108,0.5706,20.156
Olleh,Americas,LCS,2024,full year (per-game derived),Immortals,Support,29,12.666,0.4368,9.657
Eyla,Americas,LCS,2024,full year (per-game derived),100 Thieves,Support,60,9.88,0.1647,8.462
Vulcan,Americas,LCS,2024,full year (per-game derived),Cloud9,Support,47,9.394,0.1999,10.541
CoreJJ,Americas,LCS,2024,full year (per-game derived),Team Liquid,Support,62,4.391,0.0708,8.525
Busio,Americas,LCS,2024,full year (per-game derived),FlyQuest,Support,64,0.05,0.0008,2.985
Isles,Americas,LCS,2024,full year (per-game derived),Dignitas,Support,48,-0.149,-0.0031,2.645
Zeyzal,Americas,LCS,2024,full year (per-game derived),Shopify Rebellion,Support,30,-21.078,-0.7026,1.356
Bwipo,Americas,LCS,2025,full year (per-game derived),FlyQuest,Top,52,55.389,1.0652,35.243
Castle,Americas,LCS,2025,full year (per-game derived),Disguised,Top,37,29.661,0.8016,22.89
Thanatos,Americas,LCS,2025,full year (per-game derived),Cloud9,Top,59,24.482,0.4149,20.947
Srtty,Americas,LCS,2025,full year (per-game derived),LYON,Top,9,23.659,2.6288,21.988
Impact,Americas,LCS,2025,full year (per-game derived),Team Liquid,Top,47,15.747,0.335,26.537
Fudge,Americas,LCS,2025,full year (per-game derived),Shopify Rebellion,Top,58,13.626,0.2349,14.692
Dhokla,Americas,LCS,2025,full year (per-game derived),100 Thieves,Top,22,11.267,0.5121,4.436
Licorice,Americas,LCS,2025,full year (per-game derived),LYON,Top,22,1.922,0.0874,10.706
Sniper,Americas,LCS,2025,full year (per-game derived),100 Thieves,Top,29,-0.641,-0.0221,6.042
Srtty,Americas,LCS,2025,full year (per-game derived),Dignitas,Top,28,-1.097,-0.0392,13.526
Photon,Americas,LCS,2025,full year (per-game derived),Dignitas,Top,11,-5.313,-0.483,6.983
Gakgos,Americas,LCS,2025,full year (per-game derived),FlyQuest,Top,2,-5.967,-2.9835,10.24
Bejjaniii,Americas,LCS,2025,full year (per-game derived),LYON,Top,2,-6.695,-3.3475,8.645
Inspired,Americas,LCS,2025,full year (per-game derived),FlyQuest,Jungle,54,16.68,0.3089,13.336
Blaber,Americas,LCS,2025,full year (per-game derived),Cloud9,Jungle,59,11.683,0.198,11.233
River,Americas,LCS,2025,full year (per-game derived),100 Thieves,Jungle,51,9.531,0.1869,9.885
Yuuji,Americas,LCS,2025,full year (per-game derived),Team Liquid,Jungle,25,3.854,0.1542,6.722
UmTi,Americas,LCS,2025,full year (per-game derived),Team Liquid,Jungle,22,3.265,0.1484,-0.498
Contractz,Americas,LCS,2025,full year (per-game derived),Shopify Rebellion,Jungle,58,1.089,0.0188,7.74
Sheiden,Americas,LCS,2025,full year (per-game derived),Dignitas,Jungle,37,0.0,0.0,-0.16
Oddielan,Americas,LCS,2025,full year (per-game derived),LYON,Jungle,33,-4.756,-0.1441,-1.366
eXyu,Americas,LCS,2025,full year (per-game derived),Disguised,Jungle,37,-9.191,-0.2484,-3.664
Lira,Americas,LCS,2025,full year (per-game derived),Dignitas,Jungle,2,-25.538,-12.769,0.526
Quid,Americas,LCS,2025,full year (per-game derived),100 Thieves,Middle,51,42.587,0.835,32.408
Saint,Americas,LCS,2025,full year (per-game derived),LYON,Middle,33,22.999,0.6969,17.588
Keine,Americas,LCS,2025,full year (per-game derived),Dignitas,Middle,39,18.001,0.4616,15.286
Quad,Americas,LCS,2025,full year (per-game derived),FlyQuest,Middle,54,16.968,0.3142,18.815
DARKWINGS,Americas,LCS,2025,full year (per-game derived),Disguised,Middle,17,11.932,0.7019,14.399
APA,Americas,LCS,2025,full year (per-game derived),Team Liquid,Middle,47,3.809,0.081,6.877
Abbedagge,Americas,LCS,2025,full year (per-game derived),Disguised,Middle,20,0.0,0.0,7.304
Loki,Americas,LCS,2025,full year (per-game derived),Cloud9,Middle,59,-3.689,-0.0625,1.756
Palafox,Americas,LCS,2025,full year (per-game derived),Shopify Rebellion,Middle,58,-11.72,-0.2021,-2.26
Rahel,Americas,LCS,2025,full year (per-game derived),Disguised,ADC,17,39.697,2.3351,26.183
Yeon,Americas,LCS,2025,full year (per-game derived),Team Liquid,ADC,47,39.275,0.8356,24.58
Zven,Americas,LCS,2025,full year (per-game derived),Cloud9,ADC,59,25.792,0.4372,21.737
Hena,Americas,LCS,2025,full year (per-game derived),LYON,ADC,33,19.429,0.5888,19.173
Bvoy,Americas,LCS,2025,full year (per-game derived),Shopify Rebellion,ADC,58,18.906,0.326,19.812
FBI,Americas,LCS,2025,full year (per-game derived),100 Thieves,ADC,51,18.449,0.3617,16.097
Massu,Americas,LCS,2025,full year (per-game derived),FlyQuest,ADC,54,0.0,0.0,5.198
ScaryJerry,Americas,LCS,2025,full year (per-game derived),Disguised,ADC,20,-4.783,-0.2392,10.764
Tomo,Americas,LCS,2025,full year (per-game derived),Dignitas,ADC,39,-8.433,-0.2162,5.712
Lyonz,Americas,LCS,2025,full year (per-game derived),LYON,Support,33,18.647,0.5651,11.76
CoreJJ,Americas,LCS,2025,full year (per-game derived),Team Liquid,Support,47,8.086,0.172,7.704
huhi,Americas,LCS,2025,full year (per-game derived),Disguised,Support,37,7.054,0.1906,12.211
Busio,Americas,LCS,2025,full year (per-game derived),FlyQuest,Support,54,5.292,0.098,4.068
Eyla,Americas,LCS,2025,full year (per-game derived),100 Thieves,Support,51,4.561,0.0894,5.943
Vulcan,Americas,LCS,2025,full year (per-game derived),Cloud9,Support,59,4.344,0.0736,6.215
Isles,Americas,LCS,2025,full year (per-game derived),Dignitas,Support,39,-13.031,-0.3341,-4.089
Ceos,Americas,LCS,2025,full year (per-game derived),Shopify Rebellion,Support,51,-17.898,-0.3509,-8.739
Zeyzal,Americas,LCS,2025,full year (per-game derived),Shopify Rebellion,Support,7,-42.062,-6.0089,-3.577
Denathor,Americas,LCS,2026,full year (per-game derived),Dignitas,Top,6,53.031,8.8385,17.705
Castle,Americas,LCS,2026,full year (per-game derived),Disguised,Top,28,51.676,1.8456,29.471
Srtty,Americas,LCS,2026,full year (per-game derived),Disguised,Top,7,43.783,6.2547,14.053
Thanatos,Americas,LCS,2026,full year (per-game derived),Cloud9,Top,48,27.745,0.578,21.713
Morgan,Americas,LCS,2026,full year (per-game derived),Team Liquid,Top,55,21.745,0.3954,17.116
Dhokla,Americas,LCS,2026,full year (per-game derived),LYON,Top,52,15.3,0.2942,10.612
Impact,Americas,LCS,2026,full year (per-game derived),Sentinels,Top,46,9.052,0.1968,15.968
Fudge,Americas,LCS,2026,full year (per-game derived),Shopify Rebellion,Top,28,1.646,0.0588,8.318
Castle,Americas,LCS,2026,full year (per-game derived),LYON,Top,3,-0.055,-0.0183,16.595
Gakgos,Americas,LCS,2026,full year (per-game derived),FlyQuest,Top,49,-4.939,-0.1008,0.479
Photon,Americas,LCS,2026,full year (per-game derived),Dignitas,Top,24,-17.103,-0.7126,-2.47
KryRa,Americas,LCS,2026,full year (per-game derived),Disguised,Top,1,-68.787,-68.787,6.662
Vulcan,Americas,LCS,2026,full year (per-game derived),Cloud9,Top,3,-142.683,-47.561,-4.117
Massu,Americas,LCS,2026,full year (per-game derived),FlyQuest,Jungle,1,78.05,78.05,11.767
FBI,Americas,LCS,2026,full year (per-game derived),Dignitas,Jungle,3,69.535,23.1783,14.863
Tactical,Americas,LCS,2026,full year (per-game derived),Cloud9,Jungle,3,60.246,20.082,14.057
